sample_id	contig_id	bgc_id	gcf_id	product	products_list	near_contig_edge_status	bgc_length_bp	pig_body_site	pig_body_site_type
LK2492	LK2492.4	LK2492.4.region002	2499	terpene	terpene	Not Near Contig Edge	20510	Dorsal	dry
LK2492	LK2492.4	LK2492.4.region001	2498	lanthipeptide-class-v	lanthipeptide-class-v	Not Near Contig Edge	44755	Dorsal	dry
LK2537	LK2537.3	LK2537.3.region001	2554	multi-type	terpene|NAPAA	Not Near Contig Edge	54621	Inguinal	moist
LK2537	LK2537.3	LK2537.3.region002	2555	multi-type (with PKS)	T1PKS|prodigiosin	Not Near Contig Edge	50487	Inguinal	moist
LK2588	LK2588.3	LK2588.3.region001	2557	RiPP-like	RiPP-like	Not Near Contig Edge	9360	Ventral	dry
LK2588	LK2588.3	LK2588.3.region002	2558	RiPP-like	RiPP-like	Not Near Contig Edge	10279	Ventral	dry
LK2588	LK2588.4	LK2588.4.region001	2559	RRE-containing	RRE-containing	Not Near Contig Edge	20303	Ventral	dry
LK2588	LK2588.1	LK2588.1.region001	2556	betalactone	betalactone	Not Near Contig Edge	26921	Ventral	dry
LK2582	LK2582.3	LK2582.3.region001	2554	multi-type	terpene|NAPAA	Not Near Contig Edge	54637	Ventral	dry
LK2582	LK2582.3	LK2582.3.region002	2555	multi-type (with PKS)	T1PKS|prodigiosin	Not Near Contig Edge	50483	Ventral	dry
LK2602	LK2602.3	LK2602.3.region001	2554	multi-type	terpene|NAPAA	Not Near Contig Edge	54637	Ventral	dry
LK2602	LK2602.3	LK2602.3.region002	2555	multi-type (with PKS)	T1PKS|prodigiosin	Not Near Contig Edge	50483	Ventral	dry
LK2570	LK2570.31	LK2570.31.region001	2552	NRPS	NRPS	Near Contig Edge	2379	Dorsal	dry
LK2570	LK2570.4	LK2570.4.region001	2553	NRPS	NRPS	Near Contig Edge	23214	Dorsal	dry
LK2570	LK2570.18	LK2570.18.region001	2549	lanthipeptide-class-iii	lanthipeptide-class-iii	Near Contig Edge	13059	Dorsal	dry
LK2570	LK2570.16	LK2570.16.region001	2548	NRPS	NRPS	Near Contig Edge	36263	Dorsal	dry
LK2570	LK2570.2	LK2570.2.region001	2550	T3PKS	T3PKS	Not Near Contig Edge	41068	Dorsal	dry
LK2570	LK2570.1	LK2570.1.region001	2546	terpene	terpene	Not Near Contig Edge	20822	Dorsal	dry
LK2570	LK2570.25	LK2570.25.region001	2551	NRPS	NRPS	Near Contig Edge	4314	Dorsal	dry
LK2570	LK2570.15	LK2570.15.region001	2547	multi-type	RRE-containing|NRPS-like	Not Near Contig Edge	43887	Dorsal	dry
LK2545	LK2545.6	LK2545.6.region002	2524	opine-like-metallophore	opine-like-metallophore	Not Near Contig Edge	22101	Oral	moist
LK2545	LK2545.2	LK2545.2.region001	2522	T3PKS	T3PKS	Near Contig Edge	34472	Oral	moist
LK2545	LK2545.6	LK2545.6.region001	2523	NRPS	NRPS	Not Near Contig Edge	47164	Oral	moist
LK2545	LK2545.13	LK2545.13.region001	2520	NI-siderophore	NI-siderophore	Near Contig Edge	14993	Oral	moist
LK2545	LK2545.18	LK2545.18.region001	2521	cyclic-lactone-autoinducer	cyclic-lactone-autoinducer	Near Contig Edge	20709	Oral	moist
LK2664	LK2664.50	LK2664.50.region001	2603	betalactone	betalactone	Near Contig Edge	18036	Nares	moist
LK2664	LK2664.39	LK2664.39.region001	2602	ectoine	ectoine	Near Contig Edge	10372	Nares	moist
LK2664	LK2664.1	LK2664.1.region001	2600	terpene	terpene	Not Near Contig Edge	20909	Nares	moist
LK2664	LK2664.16	LK2664.16.region001	2601	NAPAA	NAPAA	Not Near Contig Edge	34020	Nares	moist
LK2538	LK2538.15	LK2538.15.region001	2554	NAPAA	NAPAA	Not Near Contig Edge	33915	Oral	moist
LK2538	LK2538.7	LK2538.7.region001	2555	T1PKS	T1PKS	Not Near Contig Edge	44860	Oral	moist
LK2538	LK2538.3	LK2538.3.region001	2518	terpene	terpene	Near Contig Edge	12460	Oral	moist
LK2640	LK2640.6	LK2640.6.region001	2589	NAPAA	NAPAA	Not Near Contig Edge	33948	Inguinal	moist
LK2640	LK2640.3	LK2640.3.region002	2588	terpene	terpene	Not Near Contig Edge	20921	Inguinal	moist
LK2640	LK2640.3	LK2640.3.region001	2587	NI-siderophore	NI-siderophore	Near Contig Edge	12427	Inguinal	moist
LK2640	LK2640.10	LK2640.10.region001	2555	T1PKS	T1PKS	Near Contig Edge	27217	Inguinal	moist
LK2567	LK2567.3	LK2567.3.region002	2555	multi-type (with PKS)	T1PKS|prodigiosin	Not Near Contig Edge	50483	Dorsal	dry
LK2567	LK2567.3	LK2567.3.region001	2554	multi-type	terpene|NAPAA	Not Near Contig Edge	54637	Dorsal	dry
LK2660	LK2660.29	LK2660.29.region001	2596	linaridin	linaridin	Near Contig Edge	4545	Nares	moist
LK2660	LK2660.14	LK2660.14.region001	2591	betalactone	betalactone	Not Near Contig Edge	27110	Nares	moist
LK2660	LK2660.23	LK2660.23.region001	2594	NRPS	NRPS	Near Contig Edge	37005	Nares	moist
LK2660	LK2660.15	LK2660.15.region001	2578	linaridin	linaridin	Near Contig Edge	15960	Nares	moist
LK2660	LK2660.15	LK2660.15.region002	2593	terpene	terpene	Near Contig Edge	20996	Nares	moist
LK2660	LK2660.1	LK2660.1.region001	2567	NAPAA	NAPAA	Not Near Contig Edge	34116	Nares	moist
LK2660	LK2660.8	LK2660.8.region001	2599	NAPAA	NAPAA	Near Contig Edge	32446	Nares	moist
LK2660	LK2660.7	LK2660.7.region001	2584	betalactone	betalactone	Not Near Contig Edge	27086	Nares	moist
LK2660	LK2660.24	LK2660.24.region001	2582	T3PKS	T3PKS	Near Contig Edge	23241	Nares	moist
LK2660	LK2660.6	LK2660.6.region001	2597	NI-siderophore	NI-siderophore	Near Contig Edge	11824	Nares	moist
LK2569	LK2569.24	LK2569.24.region001	2543	terpene	terpene	Near Contig Edge	9444	Dorsal	dry
LK2569	LK2569.12	LK2569.12.region001	2542	T1PKS	T1PKS	Near Contig Edge	23366	Dorsal	dry
LK2569	LK2569.6	LK2569.6.region001	2545	terpene	terpene	Not Near Contig Edge	21233	Dorsal	dry
LK2569	LK2569.3	LK2569.3.region001	2544	NAPAA	NAPAA	Not Near Contig Edge	33978	Dorsal	dry
LK2625	LK2625.14	LK2625.14.region001	2578	linaridin	linaridin	Near Contig Edge	15960	Inguinal	moist
LK2625	LK2625.14	LK2625.14.region002	2593	terpene	terpene	Near Contig Edge	20996	Inguinal	moist
LK2625	LK2625.1	LK2625.1.region001	2567	NAPAA	NAPAA	Not Near Contig Edge	34116	Inguinal	moist
LK2625	LK2625.7	LK2625.7.region001	2584	betalactone	betalactone	Not Near Contig Edge	27086	Inguinal	moist
LK2625	LK2625.9	LK2625.9.region001	2599	NAPAA	NAPAA	Near Contig Edge	32446	Inguinal	moist
LK2625	LK2625.27	LK2625.27.region001	2596	linaridin	linaridin	Near Contig Edge	4545	Inguinal	moist
LK2625	LK2625.20	LK2625.20.region001	2597	NI-siderophore	NI-siderophore	Near Contig Edge	11824	Inguinal	moist
LK2625	LK2625.22	LK2625.22.region001	2582	T3PKS	T3PKS	Near Contig Edge	23140	Inguinal	moist
LK2625	LK2625.13	LK2625.13.region001	2591	betalactone	betalactone	Not Near Contig Edge	27110	Inguinal	moist
LK2625	LK2625.21	LK2625.21.region001	2594	NRPS	NRPS	Near Contig Edge	37005	Inguinal	moist
LK2598	LK2598.7	LK2598.7.region001	2591	betalactone	betalactone	Not Near Contig Edge	27110	Ventral	dry
LK2598	LK2598.6	LK2598.6.region001	2599	NAPAA	NAPAA	Not Near Contig Edge	33951	Ventral	dry
LK2598	LK2598.2	LK2598.2.region001	2597	NI-siderophore	NI-siderophore	Near Contig Edge	5918	Ventral	dry
LK2598	LK2598.28	LK2598.28.region001	2593	terpene	terpene	Near Contig Edge	16313	Ventral	dry
LK2598	LK2598.35	LK2598.35.region001	2582	T3PKS	T3PKS	Near Contig Edge	7104	Ventral	dry
LK2598	LK2598.30	LK2598.30.region001	2578	linaridin	linaridin	Near Contig Edge	16051	Ventral	dry
LK2598	LK2598.1	LK2598.1.region001	2566	NI-siderophore	NI-siderophore	Near Contig Edge	5974	Ventral	dry
LK2598	LK2598.1	LK2598.1.region002	2567	NAPAA	NAPAA	Not Near Contig Edge	34116	Ventral	dry
